intent,description,example
complain,"User expressing dissatisfaction","Yaar ye phone bilkul kharab ho gaya hai"
share_experience,"Sharing personal experience","Food tha awesome bhai must try"
ask_help,"Requesting assistance","Kya karu vacation ke liye budget kam hai"
share_plan,"Sharing future plans","Kal trip plan kar liya hai"
share_achievement,"Celebrating accomplishments","50 likes aa gaye post pe"
express_frustration,"Showing irritation","Koi reply nahi aa raha"
express_emotion,"Emotional expression","Ghar wale bohot miss kar raha hu"
request_info,"Asking for information","Ye recipe kaise banaye?"
ask_opinion,"Seeking opinions","Apple ya Samsung konsa better?"
describe,"Describing something","WhatsApp group bohot active hai"
reflect,"Reflecting on experience","Facebook pe purani photos dekh raha tha"
give_opinion,"Giving personal opinion","Ye filter kitna cute lag raha hai"
give_advice,"Offering advice","Size chart check kar lena pehle"
confess,"Admitting something","Exam form bhool gaya main"
 
